title,author,artist,publisher,public_date,genre,volume,series,cover_image,language,synopsis
Batman: The Long Halloween #1,Jeph Loeb,Tim Sale,DC Comics,1996-12-01,Superhero,1,Batman,https://m.media-amazon.com/images/M/MV5BNDBkYTJjZjgtNDlhNi00ZTE1LWI2NmYtMDBjMDUzOWMwNzQwXkEyXkFqcGdeQXVyMTEyNzgwMDUw._V1_FMjpg_UX1000_.jpg,English,"Batman: The Long Halloween follows the story of Batman as he investigates a series of murders committed by the?Holiday Killer, a?serial killer?who strikes on holidays. The story also features appearances by several other?Batman villains, including the?Joker, the?Riddler, and Two-Face. The?graphic novel?is known for its?intricate plot,?memorable characters, and?noir atmosphere."
Batman: Year One #1,Frank Miller,David Mazzucchelli,DC Comics,1987-02-01,Superhero,1,Batman,https://static.wikia.nocookie.net/marvel_dc/images/d/d1/Batman_404.jpg/revision/latest?cb=20170220223946,English,"Batman:?Year One?is a retelling of Batman's?origin story, and it follows the story of?Bruce Wayne?as he becomes the?Dark Knight?and?Jim Gordon?as he rises through the ranks of the?Gotham City Police Department. The graphic novel is known for its gritty and realistic portrayal of Batman and?Gotham City, and it is considered to be one of the best Batman stories ever written."
Batman: Year One #2,Frank Miller,David Mazzucchelli,DC Comics,1987-02-01,Superhero,2,Batman,https://i.pinimg.com/originals/7d/72/03/7d72035b74a77cf6daeb403e407cdc9e.jpg,English,"Batman:?Year One?follows the story of?Bruce Wayne?as he returns to?Gotham City?after years of training and becomes Batman, while also following the story of?Jim Gordon?as he becomes a detective in the corrupt?Gotham City police?department. The series explores themes of justice, corruption, and the nature of heroism. Batman: Year One is considered to be one of the greatest Batman stories ever written."
Batman: The Dark Knight Returns #1,Frank Miller,Frank Miller,DC Comics,1986-02-01,Superhero,1,Batman: The Dark Knight Returns,https://m.media-amazon.com/images/M/MV5BMzIxMDkxNDM2M15BMl5BanBnXkFtZTcwMDA5ODY1OQ@@._V1_.jpg,English,"An older, retired Batman comes out of retirement to take on a new gang of criminals, as well as old foes like Two-Face and the?Joker."
Batman: The Dark Knight Returns #4,Frank Miller,Frank Miller,DC Comics,1986-06-01,Superhero,4,Batman: The Dark Knight Returns,https://static.wikia.nocookie.net/marvel_dc/images/5/5b/Batman_-_Dark_Knight_Returns_4.jpg/revision/latest?cb=20070104171840,English,"Batman faces off against his greatest foes, including the?Joker?and?Superman, in the epic conclusion to this groundbreaking series."
Batman: The Killing Joke 1,Alan Moore,Brian Bolland,DC Comics,1988-03-01,Superhero,1,Batman,https://upload.wikimedia.org/wikipedia/en/1/11/Batman-The_Killing_Joke_%28film%29.jpg,English,"Batman:?The Killing?Joke is a one-shot graphic novel that explores the relationship between Batman and his nemesis, the?Joker. The story follows the Joker as he attempts to prove that anyone can be driven insane by one bad day, and includes flashbacks that explore the Joker's origin story. The?graphic novel?is known for its dark and disturbing themes, and it is considered to be one of the best Batman stories ever written."
Batman: The Killing Joke #10,Alan Moore,Brian Bolland,DC Comics,1988-03-01,Superhero,10,Batman: The Killing Joke,https://i0.wp.com/batman-news.com/wp-content/uploads/2021/12/The-Joker-10-1.jpg?fit=1987%2C3056&quality=80&strip=info&ssl=1,English,"A one-shot graphic novel?that explores the relationship between Batman and the?Joker, as the latter attempts to drive?Commissioner?Gordon insane and prove that even the sanest person can be pushed over the edge."
Batman: The Killing Joke #5,Alan Moore,Brian Bolland,DC Comics,1988-03-01,Superhero,5,Batman: The Killing Joke,https://upload.wikimedia.org/wikipedia/en/thumb/3/32/Killingjoke.JPG/220px-Killingjoke.JPG,English,The Joker?tries to prove that anyone can be driven insane with enough trauma when he targets?Commissioner Gordon?and his daughter Barbara (aka Batgirl).
Berserk #1,Kentaro Miura,Kentaro Miura,Hakusensha,1989-06-23,Dark fantasy,1,Berserk,https://upload.wikimedia.org/wikipedia/vi/4/45/Berserk_vol01.jpg,Japanese,"Follows the story of?Guts, a skilled mercenary, as he seeks revenge against his former best friend and leader of a group of?demonic beings?known as the?God Hand."
Black Hole #1,Charles Burns,Charles Burns,Kitchen Sink Press,1995-10-01,Horror,1,Black Hole,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1611868935i/7392022.jpg,English,A coming-of-age story set in the 1970
Black Panther #1,Ta-Nehisi Coates,Brian Stelfreeze,Marvel Comics,2016-04-06,Superhero,1,Black Panther,https://cdn.marvel.com/u/prod/marvel/i/mg/9/03/619e63a155950/clean.jpg,English,"Black Panther follows the story of T'Challa, the king of?Wakanda, a technologically advanced?African nation?that is also home to the rare metal vibranium. The series explores themes of politics, power, and the responsibilities of leadership. Black Panther has been adapted into several movies and television shows, and is one of Marvel Comics' most popular characters."
Black Science #1,Rick Remender,Matteo Scalera,Image Comics,2013-11-27,Science Fiction,1,Black Science,https://cdn.imagecomics.com/assets/i/releases/76247/black-science-1_ca3dcf0e0e.jpg,English,"Grant McKay, former member of The Anarchistic Order of Scientists, has finally done the impossible: He has deciphered Black Science and punched through the barriers of reality. But what lies beyond the veil is not epiphany, but chaos. Now Grant and his team are lost, living ghosts shipwrecked on an infinite ocean of alien worlds, barreling through the long-forgotten, ancient, and unimaginable dark realms. The only way is forward. The only question is how far are they willing to go, and how much can they endure, to get home again?"
Blacksad #1,Juan Diaz Canales,Juanjo Guarnido,Dargaud,2000-11-28,Crime,1,Blacksad,https://comicvine.gamespot.com/a/uploads/scale_medium/12/124613/3060107-blacksad%20v2003%20001%20%282003%29%20pagecover.jpg,Spanish,"John Blacksad, a cat private detective, solves cases in a noir-inspired world where?anthropomorphic animals?live in a human-like society."
Blacksad: Amarillo-4,Juan Diaz Canales,Juanjo Guarnido,Dargaud,2013-11-01,Noir,4,Blacksad,https://i0.wp.com/www.bigglasgowcomicpage.com/wp-content/uploads/2021/06/Screenshot_20210626-190935_CDisplayEx.jpg?ssl=1,Spanish,"Blacksad is hired to find a?missing child?in the dusty streets of 1950s?Amarillo, Texas, and uncovers a web of corruption and violence."
Blacksad: Arctic Nation #1,Juan Diaz Canales,Juanjo Guarnido,Dargaud,2003-11-12,Crime,1,Blacksad,https://i0.wp.com/www.bigglasgowcomicpage.com/wp-content/uploads/2021/06/Screenshot_20210614-182607_CDisplayEx.jpg?ssl=1,Spanish,Blacksad investigates a?hate crime?against a mixed-race couple in a?polarized society?where white animals hold all the power and?black animals?are marginalized.
Blacksad: Red Soul-3,Juan Diaz Canales,Juanjo Guarnido,Dargaud,2000-11-01,Noir,3,Blacksad,https://bdi.dlpdomain.com/album/9791032800850/couv/M450x600/3-red-soul-tome-3.jpg,Spanish,Blacksad investigates the murder of a famous actress and becomes embroiled in a conspiracy involving the?Hollywood elite.
Blake and Mortimer: The Mystery of the Great Pyramid-2,Edgar P. Jacobs,Edgar P. Jacobs,Lombard,1954-01-01,Mystery,2,Blake and Mortimer,https://upload.wikimedia.org/wikipedia/en/4/4c/Blake_mortimer_mystery_2.jpg,French,Captain Blake and Professor Mortimer investigate a series of mysterious events surrounding the construction of the?Great Pyramid of Giza.
Blake and Mortimer: The Yellow "M" Strikes Back-5,Edgar P. Jacobs,Edgar P. Jacobs,Lombard,1957-01-01,Mystery,5,Blake and Mortimer,https://assets.lastdodo.com/image/ld_medium/plain/assets/catalog/assets/2011/11/29/5/d/c/pdf_5dc2e6a0-fcff-012e-b187-0050569439b1.jpg,French,"Captain Blake and Professor?Mortimer?must confront the Yellow ""M"" once again, as he seeks revenge against them for foiling his previous plans."
Bleach #1,Tite Kubo,Tite Kubo,Shueisha,2001-08-07,Supernatural,1,Bleach,https://upload.wikimedia.org/wikipedia/vi/5/53/Bleach_cover_01.jpg,Japanese,"Ichigo Kurosaki?gains the power to see ghosts and becomes a?Soul Reaper, tasked with protecting the living world from malevolent spirits and guiding the souls of the deceased to the afterlife."
Blueberry: Angel Face-3,Jean-Michel Charlier,Jean Giraud,Dargaud,1965-01-01,Western,3,Blueberry,https://pictures.abebooks.com/inventory/30979548415.jpg,French,Blueberry investigates a series of murders in a small town and discovers a web of corruption and deceit.
Blueberry: Fort Navajo #1,Jean-Michel Charlier,Jean Giraud,Dargaud,1963-10-15,Western,1,Blueberry,https://assets.lastdodo.com/image/ld_large/plain/assets/catalog/assets/8/4/5/b/pdf_45b6f140-cfe2-012d-7bce-0050569439b1.jpg,French,"Lieutenant?Blueberry, a?cavalry officer?in the?American Old West, tries to maintain order at a remote fort while dealing with tensions between the soldiers and the local?Native American tribe."
Blueberry: The Lost Dutchman's Mine-4,Jean-Michel Charlier,Jean Giraud,Dargaud,1965-01-01,Western,4,Blueberry,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1328493546i/6184494.jpg,French,Blueberry teams up with a group of prospectors to search for the legendary Lost Dutchman's Mine in the?Arizona desert.
Corto Maltese: The Ballad of the Salt Sea #1,Hugo Pratt,Hugo Pratt,Rizzoli,1967-07-01,Adventure,1,Corto Maltese,https://cortomaltese.com/en/wp-content/uploads/sites/1/CortoMaltese_Ballad-of-Salty-Sea-Cover.jpg,Italian,"Corto Maltese, a seafaring adventurer, gets caught up in a search for?lost treasure?that involves a beautiful woman, a?pirate crew, and a vengeful sea monster."
Deadly Class #1,Rick Remender,Wesley Craig,Image Comics,2014-01-22,Action,1,Deadly Class,https://imagecomics.com/files/releases/_1200x630_fit_center-center_82_none/deadly-class-01.jpg?mtime=1543599042,English,"Deadly Class is set in a school for assassins in the 1980s and follows the story of?Marcus Lopez, a homeless teenager who is recruited into the school and must navigate its brutal hierarchy and dangerous assignments. The series explores themes of identity, loyalty, and the consequences of violence."
Doraemon #1,Fujiko F. Fujio,Fujiko F. Fujio,Shogakukan,1970-12-01,Science Fiction,1,Doraemon,https://upload.wikimedia.org/wikipedia/vi/b/b7/Doraemon1.jpg,Japanese,"A?robotic cat?named Doraemon travels back in time to help a young boy named?Nobita Nobi, using his futuristic gadgets to solve problems and teach life lessons."
Dragon Ball Z #42,Akira Toriyama,Akira Toriyama,Shueisha,1993-09-10,Action/Adventure,42,Dragon Ball Z,https://cdn.shopify.com/s/files/1/0318/2649/products/61G4A31ACNL_e58d77ca-b584-4656-aa98-851d27454efd.jpeg?v=1571440113,Japanese,"The final battle between Goku and?Majin Buu?reaches its climax, as the fate of the world hangs in the balance."
Dragon Tiger Gate #1,Wong Yuk-long,Tony Wong,Jade Dynasty,1998-01-01,Martial Arts,1,Dragon Tiger Gate,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRSbocvmzIkZHxPjYTBVVymZ9BNO6stE-YWMBft6J2dtcyYHgwJzyyLrP-E7xzmzkgdH1w&usqp=CAU,Chinese,"This series follows the lives of three friends, Dragon, Tiger, and Gate, as they train in martial arts and fight against various enemies."
Fables #1,Bill Willingham,Lan Medina,Vertigo,2002-07-03,Fantasy,1,Fables,https://static.wikia.nocookie.net/marvel_dc/images/6/68/Fables_Vol_1_1_Variant.jpg/revision/latest?cb=20150202184205,English,"Fables is set in a world where characters from?fairy tales?and folklore live in exile in modern-day?New York City. The series follows the story of?Snow White, the?Big Bad Wolf, and other fabled characters as they navigate their way through a world that is both familiar and strange. The series explores themes of identity, power, and the nature of storytelling."
Feng Shen Ji #1,Zheng Jian He,Zheng Jian He,Tencent Animation,2010-12-01,Fantasy,1,Feng Shen Ji,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1494011317i/29874774.jpg,Chinese,The story follows a young man named?Wu Geng?who embarks on a journey to reclaim his throne and restore order to a world ruled by corrupt gods.
Fullmetal Alchemist #1,Hiromu Arakawa,Hiromu Arakawa,Square Enix,2001-07-12,Science Fantasy,1,Fullmetal Alchemist,https://upload.wikimedia.org/wikipedia/vi/4/42/B%C3%ACa_truy%E1%BB%87n_Fullmetal_Alchemist_c%E1%BB%A7a_Nh%E1%BA%ADt.jpg,Japanese,"Two brothers, Edward and?Alphonse Elric, use alchemy to try to bring their deceased mother back to life, but the attempt goes horribly wrong and they must search for a way to reverse the consequences."
Gaston Lagaffe: Gala de Gaffes-4,Andre Franquin,Andre Franquin,Dupuis,1960-01-01,Comedy,4,Gaston Lagaffe,https://upload.wikimedia.org/wikipedia/en/3/36/Cover_of_Gala_de_gaffes_%C3%A0_gogo.jpg,French,Gaston Lagaffe causes chaos and hilarity at a fancy?gala event?with his unconventional behavior and inventions.
Gaston Lagaffe-3,Andre Franquin,Andre Franquin,Dupuis,1958-01-01,Comedy,3,Gaston Lagaffe,https://www.bdfugue.com/media/catalog/product/cache/1/image/400x/17f82f742ffe127f42dca9de82fb58b1/9/7/9782277330707_1_75.jpg,French,"Gaston Lagaffe causes chaos and confusion in his workplace with his lazy, clumsy, and inventive ways."
Hellboy #1,Mike Mignola,Mike Mignola,Dark Horse Comics,1994-03-01,Horror,1,Hellboy,https://static.wikia.nocookie.net/hellboy/images/0/03/Seed_of_Destruction_1.jpg/revision/latest?cb=20190721123844,English,"A demon summoned by Nazis during World War II is rescued and raised by a professor of the paranormal, and he now works to protect humanity from supernatural threats."
Hellboy: Seed of Destruction #1,Mike Mignola,Mike Mignola,Dark Horse Comics,1994-03-01,Horror,1,Hellboy,https://static.wikia.nocookie.net/hellboy/images/0/03/Seed_of_Destruction_1.jpg/revision/latest?cb=20190721123844,English,"Hellboy: Seed of Destruction is the?first story arc?in Mike Mignola's?Hellboy series, and it follows the story of the titular character, a demon who was summoned to Earth by the Nazis during?World?War II and raised by Professor Trevor Bruttenholm to fight supernatural threats. The series explores themes of destiny, identity, and the nature of evil."
Hellboy: Seed of Destruction #1,Mike Mignola,Mike Mignola,Dark Horse Comics,1994-03-01,Horror,1,Hellboy,https://d1466nnw0ex81e.cloudfront.net/n_iv/600/1238363.jpg,English,"The first issue of the long-running series, which follows the adventures of?Hellboy, a demon who was raised by humans and fights supernatural threats to the world."
I Kill Giants #1,Joe Kelly,J. M. Ken Niimura,Image Comics,2008-01-01,Fantasy,1,I Kill Giants,https://cdn.imagecomics.com/assets/i/releases/578232/i-kill-giants-1_2d277a554e.jpg,English,"A young girl named?Barbara?is convinced that giants are real and is determined to stop them, even if no"
Invincible #1,Robert Kirkman,Cory Walker,Image Comics,2003-01-22,Superhero,1,Invincible,https://imagecomics.com/files/releases/_1200x630_fit_center-center_82_none/Invincible_01-1.jpg?mtime=1543598699,English,"Invincible follows the story of?Mark Grayson, a teenager who inherits superpowers from his father and must navigate his way through the world of superheroes and villains. The series explores themes of identity, responsibility, and the consequences of power."
Invincible #124,Robert Kirkman,Cory Walker,Image Comics,2003-01-22,Superhero,124,Invincible,https://cdn.imagecomics.com/assets/i/releases/17042/invincible-124_2b4ff9011f.jpg,English,"Invincible follows the story of?Mark Grayson, a?teenage superhero?who inherits his powers from his father, the world's most powerful superhero, Omni-Man. The series explores themes of family, legacy, and the consequences of power.?Invincible?has been praised for its realistic portrayal of superheroics and its willingness to subvert?genre expectations."
Invincible #5,Robert Kirkman,Cory Walker,Image Comics,2003-01-22,Superhero,5,Invincible,https://cdn.imagecomics.com/assets/i/releases/16639/invincible-5_6fb25b53a5.jpg,English,"A teenager named?Mark Grayson?discovers that he has inherited his father's superpowers and becomes the superhero Invincible, but he soon learns that being a hero is not as easy as it seems."
JoJo's Bizarre Adventure: Diamond is Unbreakable #39,Hirohiko Araki,Hirohiko Araki,Shueisha,1995-06-05,Action/Adventure,39,JoJo's Bizarre Adventure,https://images-na.ssl-images-amazon.com/images/S/compressed.photo.goodreads.com/books/1348003455i/6811761.jpg,Japanese,"The final showdown between Josuke, Jotaro, and?Kira?takes place in a high-stakes battle that will determine the fate of the entire town."
Lazarus #1,Greg Rucka,Michael Lark,Image Comics,2013-06-26,Science Fiction,1,Lazarus,https://cdn.imagecomics.com/assets/i/releases/16343/lazarus-1_6df9cbd37b.jpg,English,"Lazarus?is set in a future where the world is ruled by powerful families who control all resources, and follows the story of?Forever Carlyle, a?genetically engineered soldier?who serves as the protector of her family. The series explores themes of power, loyalty, and the consequences of inequality."
Locke & Key #2,Joe Hill,Gabriel Rodriguez,IDW Publishing,2008-02-20,Horror,2,Locke & Key,https://prodimage.images-bn.com/pimages/9781600107610_p0_v3_s1200x630.jpg,English,"Locke & Key follows the story of the?Locke family, who move into their ancestral home, a mansion filled with magical keys that unlock?supernatural abilities. The series explores themes of family, trauma, and the nature of evil. Locke &?Key?has been praised for its?intricate plot,?memorable characters, and stunning artwork."
Lone Wolf and Cub #1,Kazuo Koike,Goseki Kojima,Futabasha,1970-09-10,Samurai,1,Lone Wolf and Cub,https://cdn.shopify.com/s/files/1/2824/5874/products/lonewolfcub1cgc9.4_1200x1200.jpg?v=1675114040,Japanese,"Itto?Ogami, a former executioner, wanders?feudal Japan?with his young son Daigoro, seeking revenge on those who framed him for treason and killed his wife."
Lucky Luke: The Daltons in the Blizzard-3,Rene Goscinny,Morris,Dupuis,1963-01-01,Western,3,Lucky Luke,https://i.ebayimg.com/images/g/c4sAAOSwGIdhumMM/s-l1600.jpg,French,"Lucky Luke must track down the?Dalton brothers, who have escaped from prison and are on the run in the snowy mountains."
Lucky Luke: The Grand Duke-4,Rene Goscinny,Morris,Dupuis,1964-01-01,Western,4,Lucky Luke,https://theslingsandarrows.com/wp-content/uploads/2016/02/GrandDukeCover1-774x1024.jpg,French,Lucky Luke is tasked with protecting a visiting?Grand Duke?from a gang of bandits who want to kidnap him for ransom.
Lucky Luke: The Rivals of Painful Gulch-5,Rene Goscinny,Morris,Dupuis,1965-01-01,Western,5,Lucky Luke,https://lh5.googleusercontent.com/-bK2khAE3ri0/WrhsiwEy9GI/AAAAAAAAvFY/l7qqPz8HGqsVnU7l9ttqQcx-U64CyW2QwCLcBGAs/w1300/lucky-luke-53_3.jpg,French,Lucky Luke is caught in the middle of a feud between two rival families in the town of Painful Gulch.
Maus: A Survivor's Tale #1,Art Spiegelman,Art Spiegelman,Pantheon Books,1980-02-10,Historical,1,Maus,https://d1466nnw0ex81e.cloudfront.net/n_iv/600/1038999.jpg,English,"A?graphic novel memoir?that tells the story of the author's father, a?Polish Jew?who survived the?Holocaust, through the use of?anthropomorphic animals?to represent different ethnic groups."
Ms. Marvel #1,G.Willow Wilson,Adrian Alphona,Marvel Comics,2014-02-05,Superhero,1,Ms. Marvel,https://cdn.marvel.com/u/prod/marvel/i/mg/f/e0/59af130256160/clean.jpg,English,"Ms. Marvel follows the story of?Kamala Khan, a Pakistani-American teenager who gains shape-shifting abilities and takes on the mantle of Ms. Marvel to protect her hometown of?Jersey City. The series explores themes of identity, religion, and the?immigrant experience. Ms. Marvel has been praised for its diverse cast of characters and its portrayal of a?Muslim superhero."
My Hero Academia #24,Kohei Horikoshi,Kohei Horikoshi,Image Comics,2014-03-07,Superhero,24,My Hero Academia,https://s3.amazonaws.com/comicgeeks/comics/covers/large-4125651.jpg?1676307321,Japanese,"Follows the story of?Izuku Midoriya, a boy born without superpowers in a world where they are the norm, as he enrolls in a prestigious school for heroes-in-training."
Naruto #700,Masashi Kishimoto,Masashi Kishimoto,Shueisha,2014-11-06,Action/Adventure,700,Naruto,https://otakubishounen.files.wordpress.com/2014/11/naruto-5283127.jpg,Japanese,"The final chapter of the long-running manga series, which follows the adventures of?Naruto Uzumaki, a young ninja with dreams of becoming the Hokage of his village."
One Piece #1000,Eiichiro Oda,Eiichiro Oda,Shueisha,2020-12-22,Action/Adventure,1000,One Piece,https://static.wikia.nocookie.net/onepiece/images/9/96/Chapter_1000.png/revision/latest?cb=20210103175719,Japanese,"A milestone issue of the popular?manga series, which follows the adventures of Monkey D. Luffy and his crew of pirates as they search for the legendary?One Piece treasure."
One-Punch Man #1,ONE,Yusuke Murata,Shueisha,2012-06-14,Superhero,1,One-Punch Man,https://static.wikia.nocookie.net/onepunchman/images/0/0e/Volume_1.png/revision/latest?cb=20191019045057,Japanese,"Saitama, a superhero with the ability to defeat any opponent with a single punch, seeks to find a worthy opponent and become recognized as a true hero."
Preacher #1,Garth Ennis,Steve Dillon,Vertigo,1995-04-01,Supernatural,1,Preacher,https://static.wikia.nocookie.net/marvel_dc/images/8/82/Preacher_01b.jpg/revision/latest?cb=20070503165625,English,"Preacher follows the story of?Jesse Custer, a small-town preacher?who gains the power of the?Word of God, which allows him to command anyone to do his bidding. The series explores themes of faith, redemption, and the nature of good and evil.?Preacher?has been praised for its?irreverent humor,?graphic violence, and?complex characters."
Preacher #3,Garth Ennis,Steve Dillon,Vertigo,1995-04-01,Horror,3,Preacher,https://static.wikia.nocookie.net/marvel_dc/images/7/7e/Preacher_Vol_1_3_Textless.jpg/revision/latest?cb=20160727060116,English,A preacher with a mysterious power teams up with his ex-girlfriend and a vampire to find?God?and hold him accountable for abandoning his creation.
Preacher #8,Garth Ennis,Steve Dillon,Vertigo,1995-04-04,Horror,8,Preacher,https://comicvine.gamespot.com/a/uploads/scale_small/6/67663/2032966-07.jpg,English,"A supernatural Western that follows the adventures of a preacher named?Jesse Custer, who gains the power to make anyone do his bidding and sets out to find?God, who has abandoned his creation."
Saga #1,Brian K. Vaughan,Fiona Staples,Image Comics,2012-03-14,Science Fiction,1,Saga,https://cdn.imagecomics.com/assets/i/releases/2485/saga-1_db3cd3b774.jpg,English,"Saga is set in a vast and diverse universe and follows the story of two lovers from opposite sides of a war who are on the run with their newborn child. The series explores themes of family, war, and the human experience."
Saga of the Swamp Thing #21,Alan Moore,Stephen R. Bissette,DC Comics,1984-06-01,Horror,21,Swamp Thing,https://static.wikia.nocookie.net/marvel_dc/images/4/40/Swamp_Thing_v.2_21.jpg/revision/latest?cb=20070215192926,English,"Saga of the Swamp Thing follows the story of Swamp Thing, a creature created by a botched experiment who becomes the protector of the natural world. The series explores themes of ecology, identity, and the struggle against darkness."
Sailor Moon #1,Naoko Takeuchi,Naoko Takeuchi,Image Comics,1991-10-07,Romance,1,Sailor Moon ,https://upload.wikimedia.org/wikipedia/en/thumb/e/e5/SMVolume1.jpg/230px-SMVolume1.jpg,Japanese,"Follows the story of?Usagi Tsukino, a?teenage girl?who discovers she is the reincarnation of a powerful princess and must fight against evil forces with the help of her friends, the Sailor Senshi"
Sandman #3,Neil Gaiman,Sam Kieth,Vertigo,1989-01-01,Fantasy,3,Sandman,https://static.wikia.nocookie.net/marvel_dc/images/c/c7/Sandman_3.jpg/revision/latest?cb=20080121190422,English,"The personification of dreams,?Morpheus, is captured and imprisoned for 70 years, and upon his release, he sets out to reclaim his power and rebuild his kingdom."
Sandman #75,Neil Gaiman,Mark Hempel,Vertigo,1996-03-28,Fantasy,75,The Sandman,https://static.wikia.nocookie.net/sandman/images/b/b9/SandmanCover75.png/revision/latest?cb=20210820030938,English,"The final issue of the critically acclaimed series, which sees?Dream?confront his own mortality and reflect on the lessons he has learned throughout his long life."
Sex Criminals #1,Matt Fraction,Chip Zdarsky,Image Comics,2013-09-25,Comedy,1,Sex Criminals,https://imagecomics.com/files/releases/_1200x630_fit_center-center_82_none/sexcriminals1_cover.jpg?mtime=1543598688,English,"Sex Criminals follows the story of Suzie and Jon, two people who discover that they can freeze time when they have sex, and decide to use their powers to rob banks in order to save Suzie's library. The series explores themes of sexuality, relationships, and mental health."
Sin City: The Hard Goodbye #1,Frank Miller,Frank Miller,Dark Horse Comics,1991-04-01,Crime,1,Sin City,https://d2lzb5v10mb0lj.cloudfront.net/darkhorse/blog/-2021/sincitycov.jpg,English,"A tough-as-nails ex-con named?Marv?sets out to avenge the death of a woman he loved, and he leaves a trail of destruction in his wake."
Sin City: The Hard Goodbye #4,Frank Miller,Frank Miller,Dark?Horse Comics,1993-11-01,Crime,4,Sin City,https://comicvine.gamespot.com/a/uploads/original/2/25108/445384-sin_city_hard_goodbye.jpg,English,A neo-noir crime thriller?that follows a tough-as-nails ex-con named?Marv?as he seeks revenge for the murder of a prostitute he was involved with.
Southern Bastards #1,Jason Aaron,Jason Latour,Image Comics,2014-04-30,Crime,1,Southern Bastards,https://imagecomics.com/files/releases/_800x418_fit_center-center_82_none/southernbastards_1_opt.jpg?mtime=1543599119,English,"Southern?Bastards?is set in a small town in Alabama and follows the story of?Earl Tubb, a man who returns to his hometown to settle his father's estate and ends up getting caught up in the town's?corrupt culture. The series explores themes of family, loyalty, and the struggle against injustice."
